"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0022402","cell cycle process",256,1280,7.70026860968562e-37
"2","GO:BP","GO:0006996","organelle organization",515,3570,7.23950311463886e-36
"3","GO:BP","GO:1903047","mitotic cell cycle process",180,747,7.23950311463886e-36
"4","GO:BP","GO:0000278","mitotic cell cycle",199,897,9.00943558712866e-35
"5","GO:BP","GO:0007010","cytoskeleton organization",277,1517,1.87455065011054e-33
"6","GO:BP","GO:0007049","cell cycle",313,1824,4.51023256458547e-33
"7","GO:BP","GO:0048731","system development",539,3985,2.66911711139947e-30
"8","GO:BP","GO:0051128","regulation of cellular component organization",370,2398,6.13032969977979e-30
"9","GO:BP","GO:0048856","anatomical structure development",726,5924,7.44512402039583e-30
"10","GO:BP","GO:0032502","developmental process",773,6478,1.14280490237873e-28
"11","GO:BP","GO:0007275","multicellular organism development",595,4658,2.34413866474265e-27
"12","GO:BP","GO:0006936","muscle contraction",101,343,4.9081813018331e-27
"13","GO:BP","GO:0003013","circulatory system process",140,593,5.7328230321902e-27
"14","GO:BP","GO:0140014","mitotic nuclear division",89,281,2.93632182221374e-26
"15","GO:BP","GO:0003012","muscle system process",114,432,3.9141072386596e-26
"16","GO:BP","GO:0030029","actin filament-based process",168,806,4.78298076056483e-26
"17","GO:BP","GO:0007059","chromosome segregation",112,427,1.89284834106386e-25
"18","GO:BP","GO:0061061","muscle structure development",149,679,2.3923642960424e-25
"19","GO:BP","GO:0060047","heart contraction",79,234,2.42993317272133e-25
"20","GO:BP","GO:0010564","regulation of cell cycle process",155,724,2.8961641986562e-25
"21","GO:BP","GO:0042692","muscle cell differentiation",106,397,8.94084255938483e-25
"22","GO:BP","GO:0003015","heart process",80,245,1.24080027802412e-24
"23","GO:BP","GO:0000819","sister chromatid segregation",77,232,3.3881464935284e-24
"24","GO:BP","GO:0051301","cell division",143,656,4.64508009447637e-24
"25","GO:BP","GO:0044057","regulation of system process",125,542,3.7991728326595e-23
"26","GO:BP","GO:0000280","nuclear division",111,450,5.94756965499274e-23
"27","GO:BP","GO:0098813","nuclear chromosome segregation",90,320,1.16257617161924e-22
"28","GO:BP","GO:0009653","anatomical structure morphogenesis",376,2692,3.16405512817891e-22
"29","GO:BP","GO:0032501","multicellular organismal process",813,7234,3.93101388419427e-22
"30","GO:BP","GO:0048285","organelle fission",116,498,7.87627630728845e-22
"31","GO:BP","GO:0048738","cardiac muscle tissue development",73,229,8.13215006337886e-22
"32","GO:BP","GO:0000070","mitotic sister chromatid segregation",66,191,8.13215006337886e-22
"33","GO:BP","GO:0055001","muscle cell development",66,191,8.13215006337886e-22
"34","GO:BP","GO:0051716","cellular response to stimulus",819,7320,8.15129296388504e-22
"35","GO:BP","GO:0008015","blood circulation",117,508,1.18331195110651e-21
"36","GO:BP","GO:0008016","regulation of heart contraction",67,200,2.4402043459332e-21
"37","GO:BP","GO:0051276","chromosome organization",133,628,3.30048998745007e-21
"38","GO:BP","GO:0007507","heart development",129,600,3.73313836514251e-21
"39","GO:BP","GO:0051146","striated muscle cell differentiation",83,294,4.48972401863428e-21
"40","GO:BP","GO:0033043","regulation of organelle organization",198,1139,5.34605388596259e-21
"41","GO:BP","GO:0048513","animal organ development",408,3047,5.41937413439112e-21
"42","GO:BP","GO:0055002","striated muscle cell development",58,164,9.82586324766392e-20
"43","GO:BP","GO:0050896","response to stimulus",956,8993,9.82586324766392e-20
"44","GO:BP","GO:0051726","regulation of cell cycle",188,1104,7.75295873197127e-19
"45","GO:BP","GO:0044770","cell cycle phase transition",115,537,1.23787338483208e-18
"46","GO:BP","GO:1903522","regulation of blood circulation",72,253,1.98365238022424e-18
"47","GO:BP","GO:0060537","muscle tissue development",98,421,2.12663793165109e-18
"48","GO:BP","GO:0140694","membraneless organelle assembly",95,402,2.69398519039049e-18
"49","GO:BP","GO:0006941","striated muscle contraction",59,181,3.93190019156214e-18
"50","GO:BP","GO:0060048","cardiac muscle contraction",50,134,3.9917114259527e-18
"51","GO:BP","GO:0014706","striated muscle tissue development",94,398,4.23305280188606e-18
"52","GO:BP","GO:0072359","circulatory system development",189,1134,5.91993971248729e-18
