"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0080090","regulation of primary metabolic process",1490,5486,2.1477855204676e-69
"2","GO:BP","GO:0019538","protein metabolic process",1279,4813,3.78428665046774e-50
"3","GO:BP","GO:0019222","regulation of metabolic process",1728,7076,1.16382584392655e-46
"4","GO:BP","GO:0048518","positive regulation of biological process",1546,6235,1.12808320851844e-43
"5","GO:BP","GO:0048522","positive regulation of cellular process",1474,5886,1.59445706759873e-43
"6","GO:BP","GO:0019219","regulation of nucleobase-containing compound metabolic process",1077,4002,4.91605235484057e-43
"7","GO:BP","GO:0051252","regulation of RNA metabolic process",1006,3709,4.12080487131347e-41
"8","GO:BP","GO:0009893","positive regulation of metabolic process",987,3648,1.14635611373372e-39
"9","GO:BP","GO:0006351","DNA-templated transcription",966,3559,2.72045621399781e-39
"10","GO:BP","GO:0009057","macromolecule catabolic process",455,1348,2.75994736890975e-39
"11","GO:BP","GO:0060255","regulation of macromolecule metabolic process",1582,6535,1.33088895930091e-38
"12","GO:BP","GO:0046907","intracellular transport",458,1371,2.46805989216248e-38
"13","GO:BP","GO:0051641","cellular localization",972,3625,2.59764788056503e-37
"14","GO:BP","GO:0043412","macromolecule modification",857,3129,1.28752859791711e-35
"15","GO:BP","GO:0010604","positive regulation of macromolecule metabolic process",902,3349,7.74145299668899e-35
"16","GO:BP","GO:0051649","establishment of localization in cell",591,1976,3.33956653637518e-34
"17","GO:BP","GO:0006996","organelle organization",947,3570,3.56698182235151e-34
"18","GO:BP","GO:0006355","regulation of DNA-templated transcription",915,3435,1.64776334914472e-33
"19","GO:BP","GO:2001141","regulation of RNA biosynthetic process",918,3454,2.9135921503549e-33
"20","GO:BP","GO:0009056","catabolic process",721,2562,3.90692132519904e-33
"21","GO:BP","GO:0065007","biological regulation",2710,12671,1.18045079494942e-32
"22","GO:BP","GO:0050794","regulation of cellular process",2565,11876,2.68071393674096e-32
"23","GO:BP","GO:0042254","ribosome biogenesis",155,316,4.04542301267347e-32
"24","GO:BP","GO:0033554","cellular response to stress",539,1786,4.21244483925352e-32
"25","GO:BP","GO:0050789","regulation of biological process",2635,12278,7.74182045821107e-32
"26","GO:BP","GO:0033036","macromolecule localization",858,3211,1.27314948508262e-31
"27","GO:BP","GO:0019941","modification-dependent protein catabolic process",239,613,4.43285750104917e-30
"28","GO:BP","GO:0043632","modification-dependent macromolecule catabolic process",240,617,4.79217677990894e-30
"29","GO:BP","GO:0016072","rRNA metabolic process",134,263,7.73798174254728e-30
"30","GO:BP","GO:0070727","cellular macromolecule localization",749,2749,9.19351681943306e-30
"31","GO:BP","GO:0006511","ubiquitin-dependent protein catabolic process",235,603,1.42963449682273e-29
"32","GO:BP","GO:0036211","protein modification process",791,2947,2.01791170445476e-29
"33","GO:BP","GO:0051246","regulation of protein metabolic process",573,1975,2.552477202411e-29
"34","GO:BP","GO:0008104","protein localization",744,2738,3.54943402642103e-29
"35","GO:BP","GO:0006366","transcription by RNA polymerase II",733,2698,1.19388745351169e-28
"36","GO:BP","GO:0030163","protein catabolic process",330,973,1.58242982262629e-28
"37","GO:BP","GO:0006364","rRNA processing",119,225,2.00274618844918e-28
"38","GO:BP","GO:0045935","positive regulation of nucleobase-containing compound metabolic process",583,2038,3.75507969968346e-28
"39","GO:BP","GO:0051179","localization",1324,5521,4.13413583127106e-28
"40","GO:BP","GO:0015031","protein transport",439,1428,1.22070296575265e-27
"41","GO:BP","GO:0051603","proteolysis involved in protein catabolic process",265,732,1.47071285913582e-27
"42","GO:BP","GO:0009889","regulation of biosynthetic process",1370,5795,2.20087493839675e-26
"43","GO:BP","GO:0051254","positive regulation of RNA metabolic process",530,1844,7.52825155285324e-26
"44","GO:BP","GO:0010556","regulation of macromolecule biosynthetic process",1334,5633,8.94866164889005e-26
"45","GO:BP","GO:0071705","nitrogen compound transport",543,1909,2.28700733701271e-25
"46","GO:BP","GO:0044238","primary metabolic process",2624,12419,2.29989986716766e-25
"47","GO:BP","GO:0009894","regulation of catabolic process",335,1030,2.52305668464529e-25
"48","GO:BP","GO:0016192","vesicle-mediated transport",459,1547,2.84049745656593e-25
"49","GO:BP","GO:0016236","macroautophagy",149,338,7.71298765700993e-25
"50","GO:BP","GO:0010468","regulation of gene expression",1299,5515,8.64025798217019e-24
"51","GO:BP","GO:0006357","regulation of transcription by RNA polymerase II",683,2572,1.72683693948933e-23
"52","GO:BP","GO:0010498","proteasomal protein catabolic process",193,502,2.29549477710659e-23
"53","GO:BP","GO:0009891","positive regulation of biosynthetic process",710,2707,5.82542574185965e-23
"54","GO:BP","GO:0061919","process utilizing autophagic mechanism",211,574,9.9480870450351e-23
"55","GO:BP","GO:0006914","autophagy",211,574,9.9480870450351e-23
"56","GO:BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",163,400,9.9480870450351e-23
"57","GO:BP","GO:0010557","positive regulation of macromolecule biosynthetic process",686,2604,1.23775655547448e-22
"58","GO:BP","GO:0045893","positive regulation of DNA-templated transcription",485,1710,3.8573576182367e-22
"59","GO:BP","GO:0048583","regulation of response to stimulus",971,3958,4.17515165183965e-22
"60","GO:BP","GO:0045184","establishment of protein localization",533,1925,5.53761200969249e-22
"61","GO:BP","GO:1902680","positive regulation of RNA biosynthetic process",485,1713,5.53761200969249e-22
"62","GO:BP","GO:0007049","cell cycle",507,1824,3.51950848016159e-21
"63","GO:BP","GO:0070647","protein modification by small protein conjugation or removal",303,962,2.24838411539548e-20
"64","GO:BP","GO:0006508","proteolysis",420,1457,2.4252862047881e-20
"65","GO:BP","GO:0006810","transport",1037,4341,9.34640808626589e-20
"66","GO:BP","GO:0048523","negative regulation of cellular process",1299,5646,1.89966293979632e-19
"67","GO:BP","GO:0006974","DNA damage response",285,901,2.08178823402774e-19
"68","GO:BP","GO:0035556","intracellular signal transduction",744,2946,2.08178823402774e-19
"69","GO:BP","GO:0048519","negative regulation of biological process",1342,5865,2.30032143896304e-19
"70","GO:BP","GO:0043687","post-translational protein modification",311,1013,4.56664772054102e-19
"71","GO:BP","GO:0016050","vesicle organization",145,365,5.76655092197082e-19
"72","GO:BP","GO:0009966","regulation of signal transduction",757,3020,6.73592004315537e-19
"73","GO:BP","GO:0006950","response to stress",935,3876,1.063947867691e-18
"74","GO:BP","GO:0051253","negative regulation of RNA metabolic process",413,1457,1.46790778079666e-18
"75","GO:BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process",440,1579,2.28102209081368e-18
"76","GO:BP","GO:0023051","regulation of signaling",843,3446,3.06972860479079e-18
"77","GO:BP","GO:0010646","regulation of cell communication",842,3453,8.48079098789428e-18
"78","GO:BP","GO:0051234","establishment of localization",1131,4869,1.3651470923943e-17
"79","GO:BP","GO:0051640","organelle localization",210,624,2.01961893793769e-17
"80","GO:BP","GO:0051726","regulation of cell cycle",325,1104,6.43362416770083e-17
"81","GO:BP","GO:0032446","protein modification by small protein conjugation",263,846,9.21215488054464e-17
"82","GO:BP","GO:0006886","intracellular protein transport",223,685,1.27980468942085e-16
"83","GO:BP","GO:0008152","metabolic process",2882,14188,3.64892279291409e-16
"84","GO:BP","GO:0016197","endosomal transport",115,286,2.07316892420176e-15
"85","GO:BP","GO:0007033","vacuole organization",99,232,3.15781512088919e-15
"86","GO:BP","GO:0045892","negative regulation of DNA-templated transcription",372,1337,3.37712838421633e-15
"87","GO:BP","GO:1902679","negative regulation of RNA biosynthetic process",375,1352,4.18300870664186e-15
"88","GO:BP","GO:0045944","positive regulation of transcription by RNA polymerase II",352,1261,1.53145283662357e-14
"89","GO:BP","GO:0008219","cell death",512,1984,1.84931931110543e-14
"90","GO:BP","GO:0012501","programmed cell death",511,1980,1.94450001054985e-14
"91","GO:BP","GO:1902531","regulation of intracellular signal transduction",501,1935,2.12973218746504e-14
"92","GO:BP","GO:0010648","negative regulation of cell communication",384,1407,2.55214285033682e-14
"93","GO:BP","GO:0009968","negative regulation of signal transduction",359,1300,4.06674464161923e-14
"94","GO:BP","GO:0006915","apoptotic process",496,1919,4.20694866094562e-14
"95","GO:BP","GO:0048585","negative regulation of response to stimulus",439,1663,6.65656240588856e-14
"96","GO:BP","GO:0023057","negative regulation of signaling",382,1407,7.08485179702616e-14
"97","GO:BP","GO:0042274","ribosomal small subunit biogenesis",55,101,1.00710061686893e-13
"98","GO:BP","GO:0009896","positive regulation of catabolic process",177,537,1.20074268504028e-13
"99","GO:BP","GO:0080135","regulation of cellular response to stress",169,512,4.60322202247762e-13
"100","GO:BP","GO:0016567","protein ubiquitination",229,762,9.90224071384127e-13
"101","GO:BP","GO:0043170","macromolecule metabolic process",2476,12088,1.02167907655391e-12
"102","GO:BP","GO:0006259","DNA metabolic process",282,993,1.87311323056751e-12
"103","GO:BP","GO:0016241","regulation of macroautophagy",76,173,1.98711642863638e-12
"104","GO:BP","GO:0061024","membrane organization",242,822,2.0707831331269e-12
"105","GO:BP","GO:0016310","phosphorylation",411,1575,3.96120731663453e-12
"106","GO:BP","GO:0051128","regulation of cellular component organization",587,2398,5.34633347433088e-12
"107","GO:BP","GO:0051648","vesicle localization",90,224,5.4059384244052e-12
"108","GO:BP","GO:0051247","positive regulation of protein metabolic process",316,1152,6.252482477824e-12
"109","GO:BP","GO:0080134","regulation of response to stress",361,1354,6.97857816135663e-12
"110","GO:BP","GO:0006412","translation",216,721,7.57021342314288e-12
"111","GO:BP","GO:0043067","regulation of programmed cell death",392,1497,9.14902776303603e-12
"112","GO:BP","GO:0050790","regulation of catalytic activity",284,1015,9.76661968304107e-12
"113","GO:BP","GO:0065009","regulation of molecular function",416,1611,1.40408753864585e-11
"114","GO:BP","GO:0031399","regulation of protein modification process",317,1166,1.85593281340106e-11
"115","GO:BP","GO:0010256","endomembrane system organization",187,607,2.21287733049432e-11
"116","GO:BP","GO:0006368","transcription elongation by RNA polymerase II",57,118,2.40689062001161e-11
"117","GO:BP","GO:0006325","chromatin organization",242,843,3.72965474778357e-11
"118","GO:BP","GO:0010506","regulation of autophagy",124,358,4.1981474764111e-11
"119","GO:BP","GO:0042981","regulation of apoptotic process",380,1458,4.3378414565435e-11
"120","GO:BP","GO:0033365","protein localization to organelle",320,1189,5.37113364472850e-11
"121","GO:BP","GO:0031647","regulation of protein stability",115,325,5.73945977138146e-11
"122","GO:BP","GO:0051656","establishment of organelle localization",156,490,1.18063399609327e-10
"123","GO:BP","GO:0071840","cellular component organization or biogenesis",1752,8323,1.3822953405029e-10
"124","GO:BP","GO:0042176","regulation of protein catabolic process",126,372,1.55456754990529e-10
"125","GO:BP","GO:0051248","negative regulation of protein metabolic process",208,708,1.55456754990529e-10
"126","GO:BP","GO:0043414","macromolecule methylation",59,129,1.63752787867815e-10
"127","GO:BP","GO:0009892","negative regulation of metabolic process",788,3418,1.74248146006818e-10
"128","GO:BP","GO:0051169","nuclear transport",115,331,2.14179146944513e-10
"129","GO:BP","GO:0006913","nucleocytoplasmic transport",115,331,2.14179146944513e-10
"130","GO:BP","GO:0051650","establishment of vesicle localization",81,205,2.26133659499614e-10
"131","GO:BP","GO:0048193","Golgi vesicle transport",107,301,2.4035662050879e-10
"132","GO:BP","GO:0006352","DNA-templated transcription initiation",79,199,3.1051298981753e-10
"133","GO:BP","GO:0072331","signal transduction by p53 class mediator",74,182,3.68936828553699e-10
"134","GO:BP","GO:0006796","phosphate-containing compound metabolic process",607,2550,3.68936828553699e-10
"135","GO:BP","GO:0006793","phosphorus metabolic process",607,2553,4.57618713808106e-10
"136","GO:BP","GO:1902532","negative regulation of intracellular signal transduction",190,640,4.87399777283045e-10
"137","GO:BP","GO:0007032","endosome organization",48,97,5.03701271288669e-10
"138","GO:BP","GO:2000142","regulation of DNA-templated transcription initiation",43,82,5.16724222540941e-10
"139","GO:BP","GO:2000144","positive regulation of DNA-templated transcription initiation",38,68,6.59425776030339e-10
"140","GO:BP","GO:0006468","protein phosphorylation",348,1341,7.05311801280453e-10
"141","GO:BP","GO:0006354","DNA-templated transcription elongation",59,133,7.11594815557213e-10
"142","GO:BP","GO:1903432","regulation of TORC1 signaling",46,92,8.35803386566864e-10
"143","GO:BP","GO:0000122","negative regulation of transcription by RNA polymerase II",270,992,8.90825802947521e-10
"144","GO:BP","GO:0006417","regulation of translation",125,378,1.03678113749833e-09
"145","GO:BP","GO:0030490","maturation of SSU-rRNA",32,53,1.66732612125955e-09
"146","GO:BP","GO:0070925","organelle assembly",270,998,1.75375686559853e-09
"147","GO:BP","GO:0000045","autophagosome assembly",52,113,2.12419447544119e-09
"148","GO:BP","GO:0060341","regulation of cellular localization",269,997,2.57153264820257e-09
"149","GO:BP","GO:0006338","chromatin remodeling",197,682,2.6377046976165e-09
"150","GO:BP","GO:0031669","cellular response to nutrient levels",89,246,4.80850429260869e-09
"151","GO:BP","GO:0010605","negative regulation of macromolecule metabolic process",732,3197,4.81170556030385e-09
