"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0006996","organelle organization",1000,3570,2.51300234761462e-60
"2","GO:BP","GO:0080090","regulation of primary metabolic process",1292,5486,8.97820029113915e-35
"3","GO:BP","GO:0033043","regulation of organelle organization",371,1139,1.35972571881837e-32
"4","GO:BP","GO:0140053","mitochondrial gene expression",99,164,5.84215876547976e-31
"5","GO:BP","GO:0019219","regulation of nucleobase-containing compound metabolic process",977,4002,4.38418875739795e-30
"6","GO:BP","GO:0019538","protein metabolic process",1133,4813,3.5107569803525e-29
"7","GO:BP","GO:0007049","cell cycle",516,1824,8.51000316758234e-29
"8","GO:BP","GO:0043412","macromolecule modification",792,3129,1.77061545618007e-28
"9","GO:BP","GO:0000278","mitotic cell cycle",298,897,1.28503762226806e-27
"10","GO:BP","GO:0022402","cell cycle process",388,1280,2.49922595538485e-27
"11","GO:BP","GO:0032543","mitochondrial translation",81,130,9.12093468512768e-27
"12","GO:BP","GO:1903047","mitotic cell cycle process",258,747,1.29739101340179e-26
"13","GO:BP","GO:0051641","cellular localization",878,3625,2.54466966030181e-25
"14","GO:BP","GO:0051252","regulation of RNA metabolic process",892,3709,9.51628612108132e-25
"15","GO:BP","GO:0051649","establishment of localization in cell",533,1976,1.39367059544991e-24
"16","GO:BP","GO:0070925","organelle assembly",313,998,1.92088006912127e-24
"17","GO:BP","GO:0006351","DNA-templated transcription",860,3559,1.92088006912127e-24
"18","GO:BP","GO:0046907","intracellular transport",399,1371,1.92088006912127e-24
"19","GO:BP","GO:0006399","tRNA metabolic process",104,208,6.63940512965218e-24
"20","GO:BP","GO:0051276","chromosome organization",217,628,2.72516358970959e-22
"21","GO:BP","GO:0051128","regulation of cellular component organization",612,2398,4.00635256450805e-22
"22","GO:BP","GO:0051726","regulation of cell cycle",329,1104,1.14534027429328e-21
"23","GO:BP","GO:0010564","regulation of cell cycle process",239,724,1.22626541091239e-21
"24","GO:BP","GO:0033044","regulation of chromosome organization",108,237,8.5129048971173e-21
"25","GO:BP","GO:2001141","regulation of RNA biosynthetic process",820,3454,1.1389652553652e-20
"26","GO:BP","GO:0006259","DNA metabolic process",300,993,1.18666401821627e-20
"27","GO:BP","GO:0006355","regulation of DNA-templated transcription",815,3435,1.83485246403934e-20
"28","GO:BP","GO:0006281","DNA repair",207,610,3.15323918275991e-20
"29","GO:BP","GO:0006974","DNA damage response",277,901,3.46207968904062e-20
"30","GO:BP","GO:0000819","sister chromatid segregation",105,232,5.39029353029726e-20
"31","GO:BP","GO:0009056","catabolic process",634,2562,1.34318158100366e-19
"32","GO:BP","GO:0007010","cytoskeleton organization",413,1517,1.92014054323095e-19
"33","GO:BP","GO:0065007","biological regulation",2497,12671,2.39232147807234e-19
"34","GO:BP","GO:0006412","translation",230,721,9.18652439884598e-19
"35","GO:BP","GO:0050789","regulation of biological process",2425,12278,1.22115815126181e-18
"36","GO:BP","GO:0033554","cellular response to stress",466,1786,2.8757525519325e-18
"37","GO:BP","GO:0033036","macromolecule localization",758,3211,3.3977901190215e-18
"38","GO:BP","GO:0036211","protein modification process",704,2947,5.44167137623465e-18
"39","GO:BP","GO:0140014","mitotic nuclear division",115,281,9.13293622882208e-18
"40","GO:BP","GO:0070727","cellular macromolecule localization",661,2749,2.102006874547e-17
"41","GO:BP","GO:0000070","mitotic sister chromatid segregation",88,191,2.45493007595433e-17
"42","GO:BP","GO:0000226","microtubule cytoskeleton organization",211,663,4.74338518800703e-17
"43","GO:BP","GO:0008104","protein localization",656,2738,6.94431518459719e-17
"44","GO:BP","GO:0044238","primary metabolic process",2436,12419,9.17134766831637e-17
"45","GO:BP","GO:0009057","macromolecule catabolic process",365,1348,1.1887513900133e-16
"46","GO:BP","GO:0007017","microtubule-based process",278,959,1.75456600400284e-16
"47","GO:BP","GO:0098813","nuclear chromosome segregation",123,320,1.75456600400284e-16
"48","GO:BP","GO:0007059","chromosome segregation",151,427,1.83529906416318e-16
"49","GO:BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",144,400,1.88644966188963e-16
"50","GO:BP","GO:0010498","proteasomal protein catabolic process",169,502,4.08953360943981e-16
"51","GO:BP","GO:0009451","RNA modification",80,172,4.49778802494441e-16
"52","GO:BP","GO:0050794","regulation of cellular process",2336,11876,6.29998254397311e-16
"53","GO:BP","GO:0048522","positive regulation of cellular process",1258,5886,8.14347637931218e-16
"54","GO:BP","GO:0051179","localization",1189,5521,9.3890599739619e-16
"55","GO:BP","GO:0006302","double-strand break repair",119,312,1.10858452795152e-15
"56","GO:BP","GO:0006511","ubiquitin-dependent protein catabolic process",192,603,1.49876311513801e-15
"57","GO:BP","GO:0043632","modification-dependent macromolecule catabolic process",195,617,1.96236323126672e-15
"58","GO:BP","GO:0045935","positive regulation of nucleobase-containing compound metabolic process",505,2038,2.31005307030332e-15
"59","GO:BP","GO:0019941","modification-dependent protein catabolic process",193,613,4.36965152675705e-15
"60","GO:BP","GO:0051603","proteolysis involved in protein catabolic process",220,732,9.17183153069825e-15
"61","GO:BP","GO:0006366","transcription by RNA polymerase II",636,2698,9.45078063929546e-15
"62","GO:BP","GO:0010604","positive regulation of macromolecule metabolic process",765,3349,9.94787588857636e-15
"63","GO:BP","GO:0008033","tRNA processing",67,138,1.32099483061987e-14
"64","GO:BP","GO:0048518","positive regulation of biological process",1313,6235,1.89969110764224e-14
"65","GO:BP","GO:0060255","regulation of macromolecule metabolic process",1362,6535,1.48671267375023e-13
"66","GO:BP","GO:0044770","cell cycle phase transition",170,537,1.84671093303989e-13
"67","GO:BP","GO:0010948","negative regulation of cell cycle process",111,301,1.94458960524855e-13
"68","GO:BP","GO:0007346","regulation of mitotic cell cycle",160,497,2.41291800902287e-13
"69","GO:BP","GO:0048285","organelle fission",160,498,2.90299466724164e-13
"70","GO:BP","GO:1901987","regulation of cell cycle phase transition",144,433,3.16997229882434e-13
"71","GO:BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis",74,169,3.46325618953172e-13
"72","GO:BP","GO:0051301","cell division",197,656,3.79647620543929e-13
"73","GO:BP","GO:0019222","regulation of metabolic process",1458,7076,3.91378850410922e-13
"74","GO:BP","GO:0140694","membraneless organelle assembly",136,402,3.93010072018249e-13
"75","GO:BP","GO:0009893","positive regulation of metabolic process",813,3648,4.11631785527569e-13
"76","GO:BP","GO:0006357","regulation of transcription by RNA polymerase II",601,2572,4.55748722004451e-13
"77","GO:BP","GO:0015031","protein transport",366,1428,5.75335873990861e-13
"78","GO:BP","GO:0000075","cell cycle checkpoint signaling",81,196,8.3968159701462e-13
"79","GO:BP","GO:0042254","ribosome biogenesis",113,316,1.12327757634904e-12
"80","GO:BP","GO:0009894","regulation of catabolic process",278,1030,2.30253253168625e-12
"81","GO:BP","GO:0006400","tRNA modification",49,93,2.38599998486602e-12
"82","GO:BP","GO:0016072","rRNA metabolic process",98,263,3.44985433810124e-12
"83","GO:BP","GO:0071840","cellular component organization or biogenesis",1676,8323,4.34623543721528e-12
"84","GO:BP","GO:0071705","nitrogen compound transport",461,1909,5.47920969568856e-12
"85","GO:BP","GO:0044772","mitotic cell cycle phase transition",140,432,6.43492430366716e-12
"86","GO:BP","GO:1901988","negative regulation of cell cycle phase transition",96,259,8.76543064146964e-12
"87","GO:BP","GO:0007052","mitotic spindle organization",61,134,9.2729434881906e-12
"88","GO:BP","GO:1901990","regulation of mitotic cell cycle phase transition",115,333,9.42748285509487e-12
"89","GO:BP","GO:0061919","process utilizing autophagic mechanism",173,574,1.09040574890191e-11
"90","GO:BP","GO:0006914","autophagy",173,574,1.09040574890191e-11
"91","GO:BP","GO:0009987","cellular process",3646,20203,1.09040574890191e-11
"92","GO:BP","GO:0030163","protein catabolic process",262,973,1.59062548250447e-11
"93","GO:BP","GO:0051254","positive regulation of RNA metabolic process",445,1844,1.64978750441231e-11
"94","GO:BP","GO:0000280","nuclear division",143,450,1.76393601481968e-11
"95","GO:BP","GO:0051052","regulation of DNA metabolic process",153,492,1.79285303676441e-11
"96","GO:BP","GO:0032204","regulation of telomere maintenance",52,107,2.27204605875784e-11
"97","GO:BP","GO:0010638","positive regulation of organelle organization",150,481,2.36994136824124e-11
"98","GO:BP","GO:0035556","intracellular signal transduction",663,2946,3.62935567858434e-11
"99","GO:BP","GO:0043687","post-translational protein modification",269,1013,3.8626297728777e-11
"100","GO:BP","GO:0007051","spindle organization",80,205,3.8626297728777e-11
"101","GO:BP","GO:0043414","macromolecule methylation",58,129,6.23559657306037e-11
"102","GO:BP","GO:0007093","mitotic cell cycle checkpoint signaling",63,146,6.25935817057475e-11
"103","GO:BP","GO:0045786","negative regulation of cell cycle",126,388,8.25720320058976e-11
"104","GO:BP","GO:0032446","protein modification by small protein conjugation",231,846,9.12131574995975e-11
"105","GO:BP","GO:0048193","Golgi vesicle transport",104,301,1.17127254019853e-10
"106","GO:BP","GO:2001252","positive regulation of chromosome organization",48,100,3.03856838391134e-10
"107","GO:BP","GO:0070647","protein modification by small protein conjugation or removal",254,962,3.25285342611918e-10
"108","GO:BP","GO:0000723","telomere maintenance",66,162,4.10279483733157e-10
"109","GO:BP","GO:0045930","negative regulation of mitotic cell cycle",85,233,4.91781089084976e-10
"110","GO:BP","GO:1902680","positive regulation of RNA biosynthetic process",410,1713,5.01431673296598e-10
"111","GO:BP","GO:0045184","establishment of protein localization",453,1925,5.01431673296598e-10
"112","GO:BP","GO:0051054","positive regulation of DNA metabolic process",98,284,5.30551146260181e-10
"113","GO:BP","GO:0045893","positive regulation of DNA-templated transcription",409,1710,5.76315020869972e-10
"114","GO:BP","GO:0010639","negative regulation of organelle organization",116,357,5.76315020869972e-10
"115","GO:BP","GO:0032259","methylation",85,234,6.06413683286496e-10
"116","GO:BP","GO:1901991","negative regulation of mitotic cell cycle phase transition",71,182,7.01517294052151e-10
"117","GO:BP","GO:0009896","positive regulation of catabolic process",158,537,8.31978260596499e-10
"118","GO:BP","GO:0043484","regulation of RNA splicing",72,188,1.37605155428637e-09
"119","GO:BP","GO:0030029","actin filament-based process",217,806,1.69946680769116e-09
"120","GO:BP","GO:0007005","mitochondrion organization",131,427,2.23032616546117e-09
"121","GO:BP","GO:0051640","organelle localization",176,624,2.59195260871404e-09
"122","GO:BP","GO:0051983","regulation of chromosome segregation",55,129,2.64813568275242e-09
"123","GO:BP","GO:0006364","rRNA processing",81,225,2.96114686125705e-09
"124","GO:BP","GO:0051493","regulation of cytoskeleton organization",151,517,4.13124990965184e-09
"125","GO:BP","GO:0030071","regulation of mitotic metaphase/anaphase transition",43,90,4.15037491167268e-09
"126","GO:BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle",44,94,5.75156896305179e-09
"127","GO:BP","GO:2001251","negative regulation of chromosome organization",44,94,5.75156896305179e-09
"128","GO:BP","GO:0016197","endosomal transport",95,286,1.07059592943264e-08
"129","GO:BP","GO:0061024","membrane organization",217,822,1.10144080213918e-08
"130","GO:BP","GO:0000086","G2/M transition of mitotic cell cycle",56,137,1.19511924836516e-08
"131","GO:BP","GO:0006289","nucleotide-excision repair",40,83,1.32531966677963e-08
"132","GO:BP","GO:0080135","regulation of cellular response to stress",148,512,1.36367781297646e-08
"133","GO:BP","GO:0006325","chromatin organization",221,843,1.42439109669666e-08
"134","GO:BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle",43,93,1.4632029452063e-08
"135","GO:BP","GO:0044087","regulation of cellular component biogenesis",247,965,1.4648079729839e-08
"136","GO:BP","GO:0006403","RNA localization",72,197,1.47059632031335e-08
"137","GO:BP","GO:0000725","recombinational repair",68,182,1.52885942868212e-08
"138","GO:BP","GO:0032206","positive regulation of telomere maintenance",36,71,1.66535560221244e-08
"139","GO:BP","GO:0016567","protein ubiquitination",203,762,1.77283874557174e-08
"140","GO:BP","GO:0044784","metaphase/anaphase transition of cell cycle",44,97,1.87420914669962e-08
"141","GO:BP","GO:0006886","intracellular protein transport",186,685,1.9311735528491e-08
"142","GO:BP","GO:0033045","regulation of sister chromatid segregation",46,104,2.07339434944786e-08
"143","GO:BP","GO:0006810","transport",909,4341,2.14907282851168e-08
"144","GO:BP","GO:1903311","regulation of mRNA metabolic process",98,303,2.56523732289718e-08
"145","GO:BP","GO:0022411","cellular component disassembly",129,434,2.62553505880381e-08
"146","GO:BP","GO:0051234","establishment of localization",1007,4869,2.76112357136952e-08
"147","GO:BP","GO:0000724","double-strand break repair via homologous recombination",66,177,2.88265388186551e-08
"148","GO:BP","GO:0016043","cellular component organization",1600,8108,3.20051574100054e-08
"149","GO:BP","GO:0120031","plasma membrane bounded cell projection assembly",164,590,3.29761294458427e-08
"150","GO:BP","GO:0000077","DNA damage checkpoint signaling",53,130,3.56143742309986e-08
"151","GO:BP","GO:0010557","positive regulation of macromolecule biosynthetic process",574,2604,4.81433186539787e-08
"152","GO:BP","GO:0060271","cilium assembly",118,391,5.12735129028169e-08
"153","GO:BP","GO:0010556","regulation of macromolecule biosynthetic process",1146,5633,5.48299303531581e-08
"154","GO:BP","GO:0032984","protein-containing complex disassembly",84,250,5.48299303531581e-08
"155","GO:BP","GO:0006796","phosphate-containing compound metabolic process",563,2550,5.48299303531581e-08
"156","GO:BP","GO:0044782","cilium organization",124,418,6.08766500010297e-08
"157","GO:BP","GO:0031570","DNA integrity checkpoint signaling",55,139,6.08766500010297e-08
"158","GO:BP","GO:0006282","regulation of DNA repair",75,215,6.328287954271e-08
"159","GO:BP","GO:0007507","heart development",165,600,6.44959782410071e-08
"160","GO:BP","GO:0006793","phosphorus metabolic process",563,2553,6.44959782410071e-08
"161","GO:BP","GO:0044839","cell cycle G2/M phase transition",59,154,6.52303639588749e-08
"162","GO:BP","GO:0034655","nucleobase-containing compound catabolic process",149,529,7.0327352387022e-08
"163","GO:BP","GO:0016236","macroautophagy",105,338,7.0327352387022e-08
"164","GO:BP","GO:1904356","regulation of telomere maintenance via telomere lengthening",33,65,7.50444097989833e-08
"165","GO:BP","GO:0030031","cell projection assembly",165,603,9.2924830332828e-08
"166","GO:BP","GO:0086001","cardiac muscle cell action potential",35,72,1.06383039259263e-07
"167","GO:BP","GO:0016073","snRNA metabolic process",30,57,1.35972462411e-07
"168","GO:BP","GO:0051246","regulation of protein metabolic process",447,1975,1.43363365721855e-07
"169","GO:BP","GO:0010833","telomere maintenance via telomere lengthening",39,86,1.60303798817564e-07
"170","GO:BP","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle",33,67,1.96815212645566e-07
"171","GO:BP","GO:0009889","regulation of biosynthetic process",1170,5795,2.05592462814481e-07
"172","GO:BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle",44,104,2.26935446381404e-07
"173","GO:BP","GO:0009891","positive regulation of biosynthetic process",588,2707,2.7596136614916e-07
"174","GO:BP","GO:0015931","nucleobase-containing compound transport",77,230,2.88405709917044e-07
"175","GO:BP","GO:0055086","nucleobase-containing small molecule metabolic process",179,677,3.03711683245633e-07
"176","GO:BP","GO:0006310","DNA recombination",102,334,3.08176359198477e-07
"177","GO:BP","GO:0000956","nuclear-transcribed mRNA catabolic process",49,123,3.34111320520447e-07
"178","GO:BP","GO:0016192","vesicle-mediated transport",359,1547,3.54367395098942e-07
"179","GO:BP","GO:0051310","metaphase chromosome alignment",43,102,3.67798632893025e-07
"180","GO:BP","GO:0006753","nucleoside phosphate metabolic process",171,642,3.67798632893025e-07
"181","GO:BP","GO:0043038","amino acid activation",26,47,3.67798632893025e-07
"182","GO:BP","GO:0044818","mitotic G2/M transition checkpoint",28,53,3.79298309789412e-07
"183","GO:BP","GO:0090307","mitotic spindle assembly",35,75,3.79298309789412e-07
"184","GO:BP","GO:0051236","establishment of RNA localization",59,161,4.05419215068713e-07
"185","GO:BP","GO:0042770","signal transduction in response to DNA damage",68,196,4.13318841397147e-07
"186","GO:BP","GO:0010468","regulation of gene expression",1115,5515,4.17654032290062e-07
"187","GO:BP","GO:0050000","chromosome localization",49,124,4.29091928397375e-07
"188","GO:BP","GO:0050684","regulation of mRNA processing",52,135,4.29091928397375e-07
"189","GO:BP","GO:1901135","carbohydrate derivative metabolic process",245,992,4.29091928397375e-07
"190","GO:BP","GO:1902750","negative regulation of cell cycle G2/M phase transition",33,69,4.52416873558223e-07
"191","GO:BP","GO:0010212","response to ionizing radiation",53,139,4.61905989687955e-07
"192","GO:BP","GO:0032200","telomere organization",67,193,4.97604628491255e-07
"193","GO:BP","GO:0007006","mitochondrial membrane organization",46,114,5.50872515485403e-07
"194","GO:BP","GO:0006402","mRNA catabolic process",81,250,5.68362665998565e-07
"195","GO:BP","GO:1903050","regulation of proteolysis involved in protein catabolic process",78,238,5.97537891105379e-07
"196","GO:BP","GO:0061136","regulation of proteasomal protein catabolic process",68,198,6.20182108752938e-07
"197","GO:BP","GO:0001510","RNA methylation",37,83,6.20182108752938e-07
"198","GO:BP","GO:0016180","snRNA processing",21,34,6.55063260075589e-07
"199","GO:BP","GO:0006354","DNA-templated transcription elongation",51,133,6.73085230062848e-07
"200","GO:BP","GO:0009117","nucleotide metabolic process",138,498,7.18244253719944e-07
"201","GO:BP","GO:0051129","negative regulation of cellular component organization",186,719,7.84345685536915e-07
"202","GO:BP","GO:0009303","rRNA transcription",22,37,7.86230779637141e-07
"203","GO:BP","GO:0045739","positive regulation of DNA repair",50,130,8.08246935059683e-07
"204","GO:BP","GO:0051656","establishment of organelle localization",136,490,8.08246935059683e-07
"205","GO:BP","GO:0042176","regulation of protein catabolic process",109,372,9.81162852479714e-07
"206","GO:BP","GO:0051303","establishment of chromosome localization",46,116,9.81162852479714e-07
"207","GO:BP","GO:0086003","cardiac muscle cell contraction",33,71,1.00804005395283e-06
"208","GO:BP","GO:0043039","tRNA aminoacylation",25,46,1.00804005395283e-06
"209","GO:BP","GO:2000058","regulation of ubiquitin-dependent protein catabolic process",62,177,1.09398688279498e-06
"210","GO:BP","GO:0031032","actomyosin structure organization",69,205,1.15090119586175e-06
"211","GO:BP","GO:1904358","positive regulation of telomere maintenance via telomere lengthening",22,38,1.48844662245909e-06
"212","GO:BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process",361,1579,1.52465698358401e-06
"213","GO:BP","GO:0009259","ribonucleotide metabolic process",107,367,1.69683018566316e-06
"214","GO:BP","GO:0070507","regulation of microtubule cytoskeleton organization",58,164,2.03154524812516e-06
"215","GO:BP","GO:0051225","spindle assembly",50,134,2.41619450502014e-06
"216","GO:BP","GO:0055007","cardiac muscle cell differentiation",45,116,2.87835287247586e-06
"217","GO:BP","GO:0019637","organophosphate metabolic process",255,1063,2.87835287247586e-06
"218","GO:BP","GO:0032970","regulation of actin filament-based process",108,375,2.88937832812181e-06
"219","GO:BP","GO:0000959","mitochondrial RNA metabolic process",25,48,2.94681176981124e-06
"220","GO:BP","GO:0050657","nucleic acid transport",56,158,3.06312310840078e-06
"221","GO:BP","GO:0050658","RNA transport",56,158,3.06312310840078e-06
"222","GO:BP","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process",50,135,3.08298880252519e-06
"223","GO:BP","GO:0030036","actin cytoskeleton organization",183,719,3.22957654875958e-06
"224","GO:BP","GO:1905818","regulation of chromosome separation",33,74,3.26395683939513e-06
"225","GO:BP","GO:0051304","chromosome separation",35,81,3.49239690338484e-06
"226","GO:BP","GO:0006892","post-Golgi vesicle-mediated transport",42,106,3.7004258538902e-06
"227","GO:BP","GO:0033365","protein localization to organelle",280,1189,3.7004258538902e-06
"228","GO:BP","GO:1902749","regulation of cell cycle G2/M phase transition",45,117,3.7004258538902e-06
"229","GO:BP","GO:0006417","regulation of translation",108,378,4.30445350159585e-06
"230","GO:BP","GO:0048024","regulation of mRNA splicing, via spliceosome",44,114,4.50667051997788e-06
"231","GO:BP","GO:0007030","Golgi organization",54,152,4.5620135147389e-06
"232","GO:BP","GO:0006418","tRNA aminoacylation for protein translation",23,43,4.91026738069315e-06
"233","GO:BP","GO:0048738","cardiac muscle tissue development",73,229,5.12591721620924e-06
"234","GO:BP","GO:0019693","ribose phosphate metabolic process",107,375,5.18882265719329e-06
