"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0080090","regulation of primary metabolic process",1197,5486,1.32640112630821e-41
"2","GO:BP","GO:0048518","positive regulation of biological process",1310,6235,4.64582015273609e-38
"3","GO:BP","GO:0065007","biological regulation",2327,12671,1.19280645214151e-37
"4","GO:BP","GO:0048522","positive regulation of cellular process",1244,5886,7.61752768721942e-37
"5","GO:BP","GO:0050794","regulation of cellular process",2202,11876,2.05265158993099e-36
"6","GO:BP","GO:0050789","regulation of biological process",2262,12278,2.05265158993099e-36
"7","GO:BP","GO:0019219","regulation of nucleobase-containing compound metabolic process",878,4002,1.37657889885816e-28
"8","GO:BP","GO:0051252","regulation of RNA metabolic process",825,3709,1.53031557305255e-28
"9","GO:BP","GO:0035556","intracellular signal transduction",679,2946,5.79427407495768e-27
"10","GO:BP","GO:0019222","regulation of metabolic process",1393,7076,1.98106658748805e-26
"11","GO:BP","GO:0019538","protein metabolic process",1010,4813,1.9949419729599e-26
"12","GO:BP","GO:0009056","catabolic process",603,2562,5.73283549697482e-26
"13","GO:BP","GO:0006351","DNA-templated transcription",786,3559,5.7613716153176e-26
"14","GO:BP","GO:0032502","developmental process",1290,6478,7.21564015275284e-26
"15","GO:BP","GO:0007275","multicellular organism development",975,4658,7.002385829379e-25
"16","GO:BP","GO:0051716","cellular response to stimulus",1423,7320,1.01722706449587e-24
"17","GO:BP","GO:0006355","regulation of DNA-templated transcription",754,3435,6.76581640022134e-24
"18","GO:BP","GO:2001141","regulation of RNA biosynthetic process",755,3454,2.19098199434034e-23
"19","GO:BP","GO:0048519","negative regulation of biological process",1169,5865,1.43136871103964e-22
"20","GO:BP","GO:0048856","anatomical structure development",1178,5924,2.01754218669478e-22
"21","GO:BP","GO:0050793","regulation of developmental process",566,2453,4.63137353930937e-22
"22","GO:BP","GO:0033554","cellular response to stress",439,1786,5.33757644768869e-22
"23","GO:BP","GO:0009893","positive regulation of metabolic process",782,3648,7.22750902958258e-22
"24","GO:BP","GO:0023051","regulation of signaling",746,3446,7.22750902958258e-22
"25","GO:BP","GO:0048523","negative regulation of cellular process",1127,5646,9.23600492979444e-22
"26","GO:BP","GO:0051253","negative regulation of RNA metabolic process",373,1457,1.11741140968819e-21
"27","GO:BP","GO:0010646","regulation of cell communication",745,3453,1.91618423628993e-21
"28","GO:BP","GO:0030154","cell differentiation",902,4381,3.21340764510572e-20
"29","GO:BP","GO:0048869","cellular developmental process",902,4382,3.34696712411635e-20
"30","GO:BP","GO:0050896","response to stimulus",1665,8993,4.40655706468844e-20
"31","GO:BP","GO:0006366","transcription by RNA polymerase II",601,2698,7.42625881797251e-20
"32","GO:BP","GO:0060255","regulation of macromolecule metabolic process",1263,6535,1.2094664622447e-19
"33","GO:BP","GO:0009966","regulation of signal transduction",658,3020,1.44701178094202e-19
"34","GO:BP","GO:0036211","protein modification process",644,2947,2.09962624253975e-19
"35","GO:BP","GO:0048583","regulation of response to stimulus",822,3958,4.17225408912621e-19
"36","GO:BP","GO:0051239","regulation of multicellular organismal process",639,2928,4.26830320131103e-19
"37","GO:BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process",387,1579,5.03083797835535e-19
"38","GO:BP","GO:0045892","negative regulation of DNA-templated transcription",339,1337,6.75917049397375e-19
"39","GO:BP","GO:0006357","regulation of transcription by RNA polymerase II",572,2572,1.22351936063634e-18
"40","GO:BP","GO:0043412","macromolecule modification",672,3129,1.72538408987715e-18
"41","GO:BP","GO:0048731","system development",823,3985,1.79446284517846e-18
"42","GO:BP","GO:1902679","negative regulation of RNA biosynthetic process",340,1352,2.21232051638923e-18
"43","GO:BP","GO:0048468","cell development",618,2833,2.29959512576379e-18
"44","GO:BP","GO:0051179","localization",1078,5521,3.67862946751403e-17
