"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0048856","anatomical structure development",315,5924,3.54613882565302e-12
"2","GO:BP","GO:0032502","developmental process",337,6478,3.54613882565302e-12
"3","GO:BP","GO:0032501","multicellular organismal process",355,7234,1.70675334063133e-09
"4","GO:BP","GO:0048869","cellular developmental process",238,4382,4.70176629803846e-09
"5","GO:BP","GO:0030154","cell differentiation",238,4381,4.70176629803846e-09
"6","GO:BP","GO:0007275","multicellular organism development",241,4658,4.00149090773013e-07
"7","GO:BP","GO:0045165","cell fate commitment",35,291,4.16472145152368e-07
"8","GO:BP","GO:0048731","system development",210,3985,1.55692875960679e-06
"9","GO:BP","GO:0003002","regionalization",43,434,1.63005057565878e-06
"10","GO:BP","GO:0007389","pattern specification process",44,478,8.92982872885163e-06
"11","GO:BP","GO:0007399","nervous system development",141,2541,5.81633559791244e-05
"12","GO:BP","GO:0001708","cell fate specification",18,113,5.93824279161659e-05
"13","GO:BP","GO:0007204","positive regulation of cytosolic calcium ion concentration",22,169,8.84247516518623e-05
"14","GO:BP","GO:0033993","response to lipid",65,921,8.84247516518623e-05
"15","GO:BP","GO:0034220","monoatomic ion transmembrane transport",69,1017,0.000149335192785136
"16","GO:BP","GO:0009891","positive regulation of biosynthetic process",144,2707,0.0003232699218848
"17","GO:BP","GO:0018958","phenol-containing compound metabolic process",17,116,0.0003232699218848
"18","GO:BP","GO:0048513","animal organ development",158,3047,0.000351480843503765
"19","GO:BP","GO:0009653","anatomical structure morphogenesis",143,2692,0.000351480843503765
"20","GO:BP","GO:0048663","neuron fate commitment",13,73,0.000546115583004332
"21","GO:BP","GO:0009888","tissue development",112,2012,0.000684438264773314
"22","GO:BP","GO:0048665","neuron fate specification",9,35,0.000796133175872781
"23","GO:BP","GO:0060429","epithelium development",76,1229,0.000847928036076503
"24","GO:BP","GO:0009953","dorsal/ventral pattern formation",14,90,0.000984970507206129
"25","GO:BP","GO:0048468","cell development",146,2833,0.00103132179476998
"26","GO:BP","GO:0006357","regulation of transcription by RNA polymerase II",135,2572,0.00103132179476998
"27","GO:BP","GO:0007417","central nervous system development",66,1038,0.00129884883064149
"28","GO:BP","GO:0009887","animal organ morphogenesis",66,1037,0.00129884883064149
"29","GO:BP","GO:0030182","neuron differentiation",84,1434,0.00162315219244647
"30","GO:BP","GO:0006954","inflammatory response",55,847,0.00400740177605984
"31","GO:BP","GO:0048699","generation of neurons",86,1517,0.00400740177605984
"32","GO:BP","GO:0006811","monoatomic ion transport",74,1256,0.00401045226209041
"33","GO:BP","GO:0060581","cell fate commitment involved in pattern specification",5,11,0.00401045226209041
"34","GO:BP","GO:0060579","ventral spinal cord interneuron fate commitment",5,11,0.00401045226209041
"35","GO:BP","GO:0009952","anterior/posterior pattern specification",22,225,0.00401045226209041
"36","GO:BP","GO:0007423","sensory organ development",43,612,0.00438026571639396
"37","GO:BP","GO:0021513","spinal cord dorsal/ventral patterning",6,18,0.00438026571639396
"38","GO:BP","GO:0006366","transcription by RNA polymerase II",136,2698,0.00480850237336785
"39","GO:BP","GO:0010557","positive regulation of macromolecule biosynthetic process",132,2604,0.00483036256376983
"40","GO:BP","GO:0098660","inorganic ion transmembrane transport",57,903,0.00484298639265191
"41","GO:BP","GO:0022008","neurogenesis",95,1746,0.00541216166756789
"42","GO:BP","GO:0002118","aggressive behavior",4,7,0.00730371909589396
"43","GO:BP","GO:0021511","spinal cord patterning",6,20,0.00730371909589396
"44","GO:BP","GO:0035270","endocrine system development",16,142,0.00745599878621567
"45","GO:BP","GO:0021514","ventral spinal cord interneuron differentiation",5,13,0.00781466163379304
"46","GO:BP","GO:0030855","epithelial cell differentiation",48,741,0.00945096930660376
"47","GO:BP","GO:0006952","defense response",96,1809,0.0109287858929368
"48","GO:BP","GO:0071396","cellular response to lipid",41,609,0.0130420821386626
"49","GO:BP","GO:0042127","regulation of cell population proliferation",90,1682,0.0130420821386626
"50","GO:BP","GO:0071542","dopaminergic neuron differentiation",8,42,0.0130420821386626
"51","GO:BP","GO:0009605","response to external stimulus",119,2367,0.013653617907934
"52","GO:BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",17,168,0.0144517986968102
"53","GO:BP","GO:1903409","reactive oxygen species biosynthetic process",9,55,0.0155790658452348
"54","GO:BP","GO:0042420","dopamine catabolic process",4,9,0.0194989104488169
"55","GO:BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",23,280,0.0243113162554469
"56","GO:BP","GO:0031343","positive regulation of cell killing",10,73,0.0292044768762322
"57","GO:BP","GO:0042424","catecholamine catabolic process",4,10,0.0293902073368403
"58","GO:BP","GO:0019614","catechol-containing compound catabolic process",4,10,0.0293902073368403
"59","GO:BP","GO:0050793","regulation of developmental process",120,2453,0.0326487282421715
"60","GO:BP","GO:0042759","long-chain fatty acid biosynthetic process",6,27,0.0326487282421715
"61","GO:BP","GO:0045595","regulation of cell differentiation",83,1577,0.033731538507923
"62","GO:BP","GO:0051239","regulation of multicellular organismal process",139,2928,0.0359369876733276
"63","GO:BP","GO:0021515","cell differentiation in spinal cord",8,50,0.0359369876733276
"64","GO:BP","GO:0045944","positive regulation of transcription by RNA polymerase II",69,1261,0.0359369876733276
"65","GO:BP","GO:0001819","positive regulation of cytokine production",33,486,0.0377111636293303
"66","GO:BP","GO:2000049","positive regulation of cell-cell adhesion mediated by cadherin",4,11,0.0377111636293303
"67","GO:BP","GO:0032814","regulation of natural killer cell activation",7,39,0.0377111636293303
"68","GO:BP","GO:0046069","cGMP catabolic process",3,5,0.0377111636293303
"69","GO:BP","GO:0010752","regulation of cGMP-mediated signaling",4,11,0.0377111636293303
"70","GO:BP","GO:0007281","germ cell development",27,370,0.0380611078595586
"71","GO:BP","GO:0006821","chloride transport",13,122,0.0380611078595586
"72","GO:BP","GO:2000179","positive regulation of neural precursor cell proliferation",9,64,0.0380611078595586
"73","GO:BP","GO:0042403","thyroid hormone metabolic process",6,29,0.039921377726749
"74","GO:BP","GO:1903426","regulation of reactive oxygen species biosynthetic process",7,40,0.0399329405169792
"75","GO:BP","GO:0060284","regulation of cell development",50,851,0.0417954252009893
"76","GO:BP","GO:0048598","embryonic morphogenesis",39,617,0.0425001843722966
"77","GO:BP","GO:0048880","sensory system development",29,414,0.042880327497727
"78","GO:BP","GO:0001912","positive regulation of leukocyte mediated cytotoxicity",9,66,0.0432581895191191
"79","GO:BP","GO:0010628","positive regulation of gene expression",65,1189,0.043813489389819
"80","GO:BP","GO:0019336","phenol-containing compound catabolic process",4,12,0.0448644830420634
"81","GO:BP","GO:0021536","diencephalon development",10,81,0.0448644830420634
"82","GO:BP","GO:0006633","fatty acid biosynthetic process",15,159,0.0448644830420634
"83","GO:BP","GO:0042475","odontogenesis of dentin-containing tooth",11,95,0.0448644830420634
"84","GO:BP","GO:0002065","columnar/cuboidal epithelial cell differentiation",13,126,0.0448644830420634
"85","GO:BP","GO:0055085","transmembrane transport",80,1538,0.0448644830420634
"86","GO:BP","GO:1901700","response to oxygen-containing compound",84,1632,0.0448644830420634
"87","GO:BP","GO:0098609","cell-cell adhesion",54,948,0.0453410848838838
"88","GO:BP","GO:0060563","neuroepithelial cell differentiation",7,42,0.0456402269096747
"89","GO:BP","GO:0009713","catechol-containing compound biosynthetic process",5,21,0.0485466144670846
"90","GO:BP","GO:0042423","catecholamine biosynthetic process",5,21,0.0485466144670846
"91","GO:BP","GO:0014070","response to organic cyclic compound",52,909,0.0492747561101457
"92","KEGG","KEGG:04080","Neuroactive ligand-receptor interaction",38,365,1.15815439013097e-06
"93","KEGG","KEGG:05322","Systemic lupus erythematosus",21,132,1.54499195986569e-06
"94","KEGG","KEGG:05034","Alcoholism",21,187,0.000412588053656701
"95","KEGG","KEGG:04613","Neutrophil extracellular trap formation",19,188,0.00343997380981788
"96","KEGG","KEGG:04060","Cytokine-cytokine receptor interaction",25,291,0.00343997380981788
"97","KEGG","KEGG:05032","Morphine addiction",12,89,0.00415662843840219
"98","KEGG","KEGG:05202","Transcriptional misregulation in cancer",17,192,0.0264202490432433
