"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0006811","monoatomic ion transport",71,1256,1.67164240528271e-15
"2","GO:BP","GO:0034220","monoatomic ion transmembrane transport",61,1017,2.47246293856796e-14
"3","GO:BP","GO:0055085","transmembrane transport",76,1538,5.2315251398416e-14
"4","GO:BP","GO:0098660","inorganic ion transmembrane transport",55,903,3.21020728440964e-13
"5","GO:BP","GO:0015698","inorganic anion transport",23,165,1.0622354287986e-11
"6","GO:BP","GO:0006820","monoatomic anion transport",23,167,1.15501835316304e-11
"7","GO:BP","GO:0006812","monoatomic cation transport",53,1032,6.47416419727773e-10
"8","GO:BP","GO:0030001","metal ion transport",48,875,7.33131250477770e-10
"9","GO:BP","GO:0006821","chloride transport",18,122,1.78780063185282e-09
"10","GO:BP","GO:0098661","inorganic anion transmembrane transport",18,127,3.2380842096045e-09
"11","GO:BP","GO:0098655","monoatomic cation transmembrane transport",44,832,1.6777341414331e-08
"12","GO:BP","GO:0098656","monoatomic anion transmembrane transport",18,142,1.83052152496037e-08
"13","GO:BP","GO:0098662","inorganic cation transmembrane transport",42,811,7.26403396069981e-08
"14","GO:BP","GO:0006810","transport",126,4341,7.26403396069981e-08
"15","GO:BP","GO:1902476","chloride transmembrane transport",15,107,1.4630177516505e-07
"16","GO:BP","GO:0048869","cellular developmental process",125,4382,2.31057399512745e-07
"17","GO:BP","GO:0030154","cell differentiation",125,4381,2.31057399512745e-07
"18","GO:BP","GO:0032502","developmental process",164,6478,9.88726050997182e-07
"19","GO:BP","GO:0035725","sodium ion transmembrane transport",17,169,1.48984786895351e-06
"20","GO:BP","GO:0048468","cell development",89,2833,1.69855122091147e-06
"21","GO:BP","GO:0032501","multicellular organismal process",177,7234,1.69855122091147e-06
"22","GO:BP","GO:0065008","regulation of biological quality",89,2847,2.01699796530142e-06
"23","GO:BP","GO:0007267","cell-cell signaling",52,1316,3.65727080755705e-06
"24","GO:BP","GO:0006814","sodium ion transport",19,235,5.55874229008624e-06
"25","GO:BP","GO:0050896","response to stimulus",206,8993,6.7291182402115e-06
"26","GO:BP","GO:0051234","establishment of localization",129,4869,7.93265379995066e-06
"27","GO:BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",19,248,1.16766926270278e-05
