"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0035195","miRNA-mediated post-transcriptional gene silencing",485,612,9.63923354214824e-204
"2","GO:BP","GO:0050907","detection of chemical stimulus involved in sensory perception",395,443,1.64916453872983e-203
"3","GO:BP","GO:0007606","sensory perception of chemical stimulus",422,497,1.68900013908326e-199
"4","GO:BP","GO:0035194","regulatory ncRNA-mediated post-transcriptional gene silencing",486,624,1.15122701501857e-198
"5","GO:BP","GO:0016441","post-transcriptional gene silencing",487,630,1.35852423781707e-196
"6","GO:BP","GO:0050911","detection of chemical stimulus involved in sensory perception of smell",363,397,4.20517799301838e-196
"7","GO:BP","GO:0009593","detection of chemical stimulus",406,480,1.10012620650347e-190
"8","GO:BP","GO:0050906","detection of stimulus involved in sensory perception",424,515,3.41240434695859e-190
"9","GO:BP","GO:0007608","sensory perception of smell",372,423,5.02498249456758e-187
"10","GO:BP","GO:0031047","regulatory ncRNA-mediated gene silencing",494,686,1.62207299254852e-176
"11","GO:BP","GO:0051606","detection of stimulus",468,643,5.46685981990857e-170
"12","GO:BP","GO:0007186","G protein-coupled receptor signaling pathway",721,1275,3.09784373681856e-168
"13","GO:BP","GO:0007600","sensory perception",577,955,7.57733506193186e-151
"14","GO:BP","GO:0050877","nervous system process",680,1489,2.78892863385515e-97
"15","GO:BP","GO:0010608","post-transcriptional regulation of gene expression",526,1087,5.9725191513191e-85
"16","GO:BP","GO:0003008","system process",851,2266,4.8847461157855e-70
"17","GO:BP","GO:0010629","negative regulation of gene expression",655,1640,7.07674639585202e-64
"18","GO:BP","GO:0042221","response to chemical",1176,3867,1.67493658436713e-40
"19","GO:BP","GO:0065007","biological regulation",3159,12671,1.40514904791702e-37
"20","GO:BP","GO:0032501","multicellular organismal process",1959,7234,2.75351669193627e-36
"21","GO:BP","GO:0050789","regulation of biological process",3056,12278,1.17219452768051e-33
"22","GO:BP","GO:0006952","defense response",614,1809,1.37032020020194e-32
"23","GO:BP","GO:0042742","defense response to bacterium",172,326,5.00424460431459e-32
"24","GO:BP","GO:0006959","humoral immune response",143,254,1.91666645138236e-30
"25","GO:BP","GO:0050794","regulation of cellular process",2951,11876,3.84256243655824e-30
"26","GO:BP","GO:0010558","negative regulation of macromolecule biosynthetic process",842,2772,8.77963554398283e-27
"27","GO:BP","GO:0009617","response to bacterium",288,721,2.62079668119379e-26
"28","GO:BP","GO:0098542","defense response to other organism",433,1228,4.70106079643474e-26
"29","GO:BP","GO:0009890","negative regulation of biosynthetic process",852,2838,2.37075560541621e-25
"30","GO:BP","GO:0031424","keratinization",62,82,1.49291576489297e-22
"31","GO:BP","GO:0019730","antimicrobial humoral response",83,131,5.25669231030947e-22
"32","GO:BP","GO:0140546","defense response to symbiont",391,1125,5.41113567409215e-22
"33","GO:BP","GO:0043207","response to external biotic stimulus",507,1558,9.84479965613897e-22
"34","GO:BP","GO:0051707","response to other organism",505,1555,1.95915277830332e-21
"35","GO:BP","GO:0009607","response to biotic stimulus",514,1593,3.52847672704113e-21
"36","GO:BP","GO:0007165","signal transduction",1578,5979,1.60673559680016e-20
"37","GO:BP","GO:0009605","response to external stimulus",710,2367,2.05864711336134e-20
"38","GO:BP","GO:0007154","cell communication",1675,6496,2.66085627642861e-17
"39","GO:BP","GO:0023052","signaling",1668,6471,3.91154542550027e-17
"40","GO:BP","GO:0001906","cell killing",108,219,6.24562524297433e-17
"41","GO:BP","GO:0006954","inflammatory response",296,847,1.03929386594503e-16
"42","GO:BP","GO:0045087","innate immune response",331,977,1.70210754692268e-16
"43","GO:BP","GO:0141060","disruption of anatomical structure in another organism",62,98,2.92334428885509e-16
"44","GO:BP","GO:0010605","negative regulation of macromolecule metabolic process",891,3197,5.96701742877909e-16
"45","GO:BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",55,83,1.07599024222899e-15
"46","GO:BP","GO:0044419","biological process involved in interspecies interaction between organisms",523,1724,1.82186191870722e-15
"47","GO:BP","GO:0141061","disruption of cell in another organism",58,91,2.01264118651053e-15
"48","GO:BP","GO:0031640","killing of cells of another organism",58,91,2.01264118651053e-15
"49","GO:BP","GO:0006955","immune response",593,2008,4.32482395940404e-15
"50","GO:BP","GO:0050896","response to stimulus",2216,8993,1.16486597158135e-14
"51","GO:BP","GO:0009892","negative regulation of metabolic process",929,3418,1.42727420514075e-13
"52","GO:BP","GO:0045109","intermediate filament organization",48,73,1.93722781645997e-13
"53","GO:BP","GO:0050909","sensory perception of taste",45,67,4.4591712713515e-13
"54","GO:BP","GO:0050830","defense response to Gram-positive bacterium",66,120,4.52180501064114e-13
"55","GO:BP","GO:0030216","keratinocyte differentiation",85,176,1.37393075044878e-12
"56","GO:BP","GO:0097530","granulocyte migration",78,156,1.56725421496409e-12
"57","GO:BP","GO:0002252","immune effector process",240,703,3.79882719771301e-12
"58","GO:BP","GO:0050829","defense response to Gram-negative bacterium",53,91,9.67708259403562e-12
"59","GO:BP","GO:1990266","neutrophil migration",67,129,1.07251696458268e-11
"60","GO:BP","GO:0002697","regulation of immune effector process",147,381,1.21435439418903e-11
"61","GO:BP","GO:0030593","neutrophil chemotaxis",58,106,2.59821008822646e-11
"62","GO:BP","GO:0071621","granulocyte chemotaxis",66,129,3.954276988202e-11
"63","GO:BP","GO:0007586","digestion",68,136,7.08296899542238e-11
"64","GO:BP","GO:0030595","leukocyte chemotaxis",101,237,8.75868911618806e-11
"65","GO:BP","GO:0050913","sensory perception of bitter taste",31,42,1.52215309677688e-10
"66","GO:BP","GO:0050900","leukocyte migration",148,396,1.7164172628977e-10
"67","GO:BP","GO:0007218","neuropeptide signaling pathway",58,110,1.9393041641565e-10
"68","GO:BP","GO:0009913","epidermal cell differentiation",104,250,2.27905944068611e-10
"69","GO:BP","GO:0022414","reproductive process",454,1556,2.27905944068611e-10
"70","GO:BP","GO:0051716","cellular response to stimulus",1802,7320,3.21197522406756e-10
"71","GO:BP","GO:0050912","detection of chemical stimulus involved in sensory perception of taste",31,43,3.88779437468937e-10
"72","GO:BP","GO:0046651","lymphocyte proliferation",121,308,3.88779437468937e-10
"73","GO:BP","GO:0007283","spermatogenesis",214,637,4.56553935876368e-10
"74","GO:BP","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste",28,37,6.07174110220631e-10
"75","GO:BP","GO:0002323","natural killer cell activation involved in immune response",27,35,6.59824256295281e-10
"76","GO:BP","GO:0070661","leukocyte proliferation",133,351,6.67451086046834e-10
"77","GO:BP","GO:0007338","single fertilization",77,169,7.4853985252462e-10
"78","GO:BP","GO:0032943","mononuclear cell proliferation",122,315,9.01773670783805e-10
"79","GO:BP","GO:0048232","male gamete generation",217,654,1.13469984903722e-09
"80","GO:BP","GO:0002376","immune system process",752,2796,1.21909743407944e-09
"81","GO:BP","GO:0097529","myeloid leukocyte migration",98,237,1.28295186716954e-09
"82","GO:BP","GO:0009566","fertilization",90,212,1.55893082452024e-09
"83","GO:BP","GO:0002237","response to molecule of bacterial origin",133,355,1.55893082452024e-09
"84","GO:BP","GO:0048609","multicellular organismal reproductive process",301,980,3.39275208073486e-09
"85","GO:BP","GO:0045104","intermediate filament cytoskeleton organization",50,94,3.46456392119731e-09
"86","GO:BP","GO:0019731","antibacterial humoral response",40,68,5.06763184678328e-09
"87","GO:BP","GO:0045103","intermediate filament-based process",50,95,5.63071083990446e-09
"88","GO:BP","GO:0045321","leukocyte activation",291,951,1.09878022645896e-08
"89","GO:BP","GO:0002682","regulation of immune system process",436,1526,1.30560827530484e-08
"90","GO:BP","GO:0071219","cellular response to molecule of bacterial origin",91,224,1.89277542063251e-08
"91","GO:BP","GO:0002526","acute inflammatory response",54,109,1.89277542063251e-08
"92","GO:BP","GO:0019221","cytokine-mediated signaling pathway",171,503,1.9468234479746e-08
"93","GO:BP","GO:0002684","positive regulation of immune system process",319,1066,2.13958912757907e-08
"94","GO:BP","GO:0060326","cell chemotaxis",119,319,2.19207732882811e-08
"95","GO:BP","GO:0001775","cell activation",327,1098,2.24858775687786e-08
"96","GO:BP","GO:0070663","regulation of leukocyte proliferation",103,265,2.42800524600282e-08
"97","GO:BP","GO:0032496","response to lipopolysaccharide",124,337,2.4766688475144e-08
"98","GO:BP","GO:0070098","chemokine-mediated signaling pathway",47,90,2.66567738030296e-08
"99","GO:BP","GO:0008544","epidermis development",139,394,5.75865291797368e-08
"100","GO:BP","GO:0042100","B cell proliferation",52,106,5.77898425010589e-08
"101","GO:BP","GO:0019953","sexual reproduction",326,1103,5.77898425010589e-08
"102","GO:BP","GO:0033141","positive regulation of peptidyl-serine phosphorylation of STAT protein",18,21,7.98302414423542e-08
"103","GO:BP","GO:0052695","cellular glucuronidation",18,21,7.98302414423542e-08
"104","GO:BP","GO:0071715","icosanoid transport",37,65,8.13773649019119e-08
"105","GO:BP","GO:0071222","cellular response to lipopolysaccharide",86,214,9.71618155793798e-08
"106","GO:BP","GO:0002548","monocyte chemotaxis",38,68,9.78817907513019e-08
"107","GO:BP","GO:0097722","sperm motility",65,147,1.0691495815603e-07
"108","GO:BP","GO:0030317","flagellated sperm motility",65,147,1.0691495815603e-07
"109","GO:BP","GO:0060294","cilium movement involved in cell motility",71,167,1.52039119622165e-07
"110","GO:BP","GO:0050670","regulation of lymphocyte proliferation",92,236,1.5813251990338e-07
"111","GO:BP","GO:0002699","positive regulation of immune effector process",97,253,1.61667864145601e-07
"112","GO:BP","GO:0002703","regulation of leukocyte mediated immunity",94,243,1.6612264156446e-07
"113","GO:BP","GO:0032944","regulation of mononuclear cell proliferation",93,240,1.80601421992884e-07
"114","GO:BP","GO:0007342","fusion of sperm to egg plasma membrane involved in single fertilization",22,30,2.22539907383343e-07
"115","GO:BP","GO:0050832","defense response to fungus",34,59,2.27215167315996e-07
"116","GO:BP","GO:0002922","positive regulation of humoral immune response",18,22,3.09403303708684e-07
"117","GO:BP","GO:0032649","regulation of type II interferon production",54,117,3.82487049590445e-07
"118","GO:BP","GO:0050727","regulation of inflammatory response",132,381,4.75182518140954e-07
"119","GO:BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",94,248,5.20196255398114e-07
"120","GO:BP","GO:0007276","gamete generation",249,822,5.20196255398114e-07
"121","GO:BP","GO:0032609","type II interferon production",54,118,5.37371804999721e-07
"122","GO:BP","GO:0072677","eosinophil migration",22,31,5.63655675773095e-07
"123","GO:BP","GO:0050776","regulation of immune response",268,897,5.63655675773095e-07
"124","GO:BP","GO:0060285","cilium-dependent cell motility",71,172,5.99303213631722e-07
"125","GO:BP","GO:0001539","cilium or flagellum-dependent cell motility",71,172,5.99303213631722e-07
"126","GO:BP","GO:0002706","regulation of lymphocyte mediated immunity",74,182,6.33474490439863e-07
"127","GO:BP","GO:0050953","sensory perception of light stimulus",86,222,6.47427511696956e-07
"128","GO:BP","GO:0002366","leukocyte activation involved in immune response",110,305,6.8353896262263e-07
"129","GO:BP","GO:0007601","visual perception",85,219,6.98833232240853e-07
"130","GO:BP","GO:0002263","cell activation involved in immune response",111,309,7.42953377564526e-07
"131","GO:BP","GO:0048245","eosinophil chemotaxis",20,27,7.85340001177305e-07
"132","GO:BP","GO:0022412","cellular process involved in reproduction in multicellular organism",138,408,1.07866422678982e-06
"133","GO:BP","GO:0022600","digestive system process",49,105,1.07866422678982e-06
"134","GO:BP","GO:1990869","cellular response to chemokine",47,99,1.07866422678982e-06
"135","GO:BP","GO:1990868","response to chemokine",47,99,1.07866422678982e-06
"136","GO:BP","GO:0031341","regulation of cell killing",49,106,1.5699222086315e-06
"137","GO:BP","GO:0048247","lymphocyte chemotaxis",34,63,1.86082868662357e-06
"138","GO:BP","GO:0071216","cellular response to biotic stimulus",93,251,1.97224289345207e-06
"139","GO:BP","GO:0042129","regulation of T cell proliferation",72,180,2.02829521490735e-06
"140","GO:BP","GO:0033139","regulation of peptidyl-serine phosphorylation of STAT protein",18,24,2.95874283579167e-06
"141","GO:BP","GO:0048240","sperm capacitation",22,33,2.95874283579167e-06
"142","GO:BP","GO:0002274","myeloid leukocyte activation",89,240,3.60181668934598e-06
"143","GO:BP","GO:0072676","lymphocyte migration",54,124,3.71194240169989e-06
"144","GO:BP","GO:0043588","skin development",112,322,4.25101563181138e-06
"145","GO:BP","GO:0042330","taxis",151,465,4.25569090126365e-06
"146","GO:BP","GO:0007631","feeding behavior",48,106,4.51496869960342e-06
"147","GO:BP","GO:0003006","developmental process involved in reproduction",294,1022,5.00648685666569e-06
"148","GO:BP","GO:0006690","icosanoid metabolic process",53,122,5.22941300195543e-06
"149","GO:BP","GO:0006953","acute-phase response",28,49,5.64016571432273e-06
"150","GO:BP","GO:0001909","leukocyte mediated cytotoxicity",57,135,5.6845194869245e-06
"151","GO:BP","GO:0045026","plasma membrane fusion",22,34,6.20368139419834e-06
"152","GO:BP","GO:0050778","positive regulation of immune response",220,732,6.23004344779315e-06
"153","GO:BP","GO:0007259","cell surface receptor signaling pathway via JAK-STAT",67,168,6.26820058389765e-06
"154","GO:BP","GO:0002443","leukocyte mediated immunity",149,461,6.77148329124236e-06
"155","GO:BP","GO:0042501","serine phosphorylation of STAT protein",18,25,7.61488114452037e-06
"156","GO:BP","GO:0097696","cell surface receptor signaling pathway via STAT",69,176,8.74205220985071e-06
"157","GO:BP","GO:0032689","negative regulation of type II interferon production",25,42,8.78227519430787e-06
"158","GO:BP","GO:0006935","chemotaxis",149,463,8.88960765724747e-06
"159","GO:BP","GO:0042102","positive regulation of T cell proliferation",46,102,8.96004459376205e-06
"160","GO:BP","GO:0071674","mononuclear cell migration",86,235,1.04616792406515e-05
"161","GO:BP","GO:0002920","regulation of humoral immune response",26,45,1.11212792994133e-05
"162","GO:BP","GO:0009620","response to fungus",35,70,1.22036105088265e-05
"163","GO:BP","GO:0002775","antimicrobial peptide production",10,10,1.45514889215285e-05
"164","GO:BP","GO:0140975","disruption of cellular anatomical structure in another organism",10,10,1.45514889215285e-05
"165","GO:BP","GO:0001819","positive regulation of cytokine production",154,486,1.5522737837693e-05
"166","GO:BP","GO:0015718","monocarboxylic acid transport",69,179,1.74891196568606e-05
"167","GO:BP","GO:0009583","detection of light stimulus",34,68,1.76008499629514e-05
"168","GO:BP","GO:0006063","uronic acid metabolic process",18,26,1.80281479275485e-05
"169","GO:BP","GO:0019585","glucuronate metabolic process",18,26,1.80281479275485e-05
"170","GO:BP","GO:0030101","natural killer cell activation",43,95,1.85963253318179e-05
"171","GO:BP","GO:0070665","positive regulation of leukocyte proliferation",64,163,2.0838966621974e-05
"172","GO:BP","GO:0050865","regulation of cell activation",187,616,2.37548046229898e-05
"173","GO:BP","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein",32,63,2.37757685519523e-05
