"","source","term_id","term_name","intersection_size","term_size","p_value"
"1","GO:BP","GO:0006996","organelle organization",1493,3570,4.64405221411878e-88
"2","GO:BP","GO:0007049","cell cycle",860,1824,9.45788588175653e-75
"3","GO:BP","GO:0080090","regulation of primary metabolic process",1999,5486,7.82746415399636e-61
"4","GO:BP","GO:0048518","positive regulation of biological process",2218,6235,9.27581423125585e-60
"5","GO:BP","GO:0048522","positive regulation of cellular process",2108,5886,2.3728107251463e-58
"6","GO:BP","GO:0065007","biological regulation",4003,12671,5.12219796210056e-58
"7","GO:BP","GO:0050789","regulation of biological process",3894,12278,7.85263441854507e-57
"8","GO:BP","GO:0033554","cellular response to stress",795,1786,2.2073098583195e-55
"9","GO:BP","GO:0051641","cellular localization",1401,3625,3.5510215197316e-55
"10","GO:BP","GO:0022402","cell cycle process",610,1280,1.40339039711567e-53
"11","GO:BP","GO:0019538","protein metabolic process",1763,4813,1.65604854738802e-53
"12","GO:BP","GO:0000278","mitotic cell cycle",465,897,6.12954353164898e-53
"13","GO:BP","GO:0050794","regulation of cellular process",3768,11876,7.56268463800031e-53
"14","GO:BP","GO:0051179","localization",1956,5521,8.82502493234641e-49
"15","GO:BP","GO:0051726","regulation of cell cycle",533,1104,1.37216520009559e-48
"16","GO:BP","GO:1903047","mitotic cell cycle process",396,747,6.91022671801823e-48
"17","GO:BP","GO:0051649","establishment of localization in cell",834,1976,7.76927368898858e-47
"18","GO:BP","GO:0043412","macromolecule modification",1208,3129,5.85217887751682e-46
"19","GO:BP","GO:0051128","regulation of cellular component organization",964,2398,8.73951331357153e-44
"20","GO:BP","GO:0036211","protein modification process",1128,2947,2.68444903155624e-40
"21","GO:BP","GO:0006974","DNA damage response",437,901,5.4917099101323e-40
"22","GO:BP","GO:0035556","intracellular signal transduction",1124,2946,2.06555592597843e-39
"23","GO:BP","GO:0046907","intracellular transport",602,1371,8.51560169179578e-39
"24","GO:BP","GO:0070727","cellular macromolecule localization",1044,2749,3.91747168064446e-35
